Locus.Tag,Gene.Name,Protein.Code,Protein.Product
NCAV_1408,lysK,A0A2K5ASJ7,Putative [LysW]-lysine/[LysW]-ornithine hydrolase (EC 3.5.1.130) (EC 3.5.1.132)
NCAV_1617,NCAV_1617,A0A2K5AT06,Uncharacterized protein
NCAV_1772,NCAV_1772,A0A2K5ATH0,Uncharacterized protein
NCAV_1603,rfcL,A0A2K5ASY7,Replication factor C large subunit
NCAV_0904,NCAV_0904,A0A2K5AQZ8,Uncharacterized protein
NCAV_0129,hflX,A0A2K5ANZ6,GTPase HflX (GTP-binding protein HflX)
NCAV_0529,NCAV_0529,A0A2K5AQ00,Uncharacterized protein
NCAV_1388,thiD,A0A2K5ASH7,Putative phosphomethylpyrimidine kinase (EC 2.7.1.49) (EC 2.7.4.7)
NCAV_0996,ureE,A0A2K5AR98,Putative urease accessory protein UreE
NCAV_1400,NCAV_1400,A0A2K5ASD8,ZnF_CDGSH domain-containing protein
NCAV_1364,cheR,A0A2K5ASA4,Protein-glutamate O-methyltransferase (EC 2.1.1.80)
NCAV_1451,adh,A0A2K5ASK9,Putative alcohol dehydrogenase protein (EC 1.1.1.1)
NCAV_1336,NCAV_1336,A0A2K5AS89,Uncharacterized protein
NCAV_0542,NCAV_0542,A0A2K5AQ35,Putative Hydrogenase 2 maturation protease
NCAV_0053,citE,A0A2K5ANN9,Putative citrate/ citryl-CoA lyase (EC 4.1.3.34) (EC 4.1.3.6)
NCAV_1283,NCAV_1283,A0A2K5AS31,ABC transporter permease protein
NCAV_0394,trxB,A0A2K5APK5,"Thioredoxin reductase, FAD/NAD(P)-binding (EC 1.8.1.9)"
NCAV_0893,NCAV_0893,A0A2K5AQZ6,Uncharacterized protein
NCAV_0465,ubiE1,A0A2K5APX6,Putative menaquinone biosynthesis methyltransferase UbiE (EC 2.1.1.-)
NCAV_1449,pdxT,A0A2K5ASK0,Pyridoxal 5'-phosphate synthase subunit PdxT (EC 4.3.3.6) (Pdx2) (Pyridoxal 5'-phosphate synthase glutaminase subunit) (EC 3.5.1.2)
NCAV_1778,NCAV_1778,A0A2K5ATJ2,Uncharacterized protein
NCAV_0236,rpl18p,A0A2K5AP65,50S ribosomal protein L18
NCAV_1204,NCAV_1204,A0A2K5ARU3,Putative archaeosortase/exosortase family protein
NCAV_1610,iscS,A0A2K5ASZ9,Cysteine desulfurase (EC 2.8.1.7)
NCAV_0012,NCAV_0012,A0A2K5ANK8,Uncharacterized protein
NCAV_0457,NCAV_0457,A0A2K5APS7,DNA helicase (EC 3.6.4.12)
NCAV_0417,psmB1,A0A2K5APN4,Proteasome subunit beta (EC 3.4.25.1) (20S proteasome beta subunit) (Proteasome core protein PsmB)
NCAV_0782,proS,A0A2K5AQN8,Proline--tRNA ligase (EC 6.1.1.15) (Prolyl-tRNA synthetase) (ProRS)
NCAV_0780,PSPH,A0A2K5AQN5,O-phosphoserine phosphohydrolase (EC 3.1.3.3)
NCAV_1674,NCAV_1674,A0A2K5AT75,Uncharacterized protein
NCAV_0162,NCAV_0162,A0A2K5AP00,Prephenate dehydratase (EC 4.2.1.51)
NCAV_1394,NCAV_1394,A0A2K5ASD7,Uncharacterized protein
NCAV_1524,NCAV_1524,A0A2K5ASU0,Uncharacterized protein
NCAV_1652,NCAV_1652,A0A2K5AT49,Putative RPA-like protein
NCAV_1341,NCAV_1341,A0A2K5AS93,Putative prepilin peptidase
NCAV_0864,NCAV_0864,A0A2K5AQX2,Uncharacterized protein
NCAV_0342,cofE,A0A2K5APH0,F420-0:gamma-L-glutamate ligase (EC 6.3.2.-)
NCAV_1805,NCAV_1805,A0A2K5ATI5,Putative DHHA1 domain protein
NCAV_1568,NCAV_1568,A0A2K5ASW2,Putative TfuA domain-containing protein
NCAV_0705,NCAV_0705,A0A2K5AQF4,Uncharacterized protein
NCAV_1788,NCAV_1788,A0A2K5ATJ9,Uncharacterized protein
NCAV_0541,NCAV_0541,A0A2K5AQ28,Putative Hydrogenase nickel incorporation protein HypA
NCAV_1233,leuB,A0A2K5ARY3,3-isopropylmalate dehydrogenase (EC 1.1.1.85)
NCAV_0613,NCAV_0613,A0A2K5AQ76,Uncharacterized protein
NCAV_0779,cofE,A0A2K5AQP0,Coenzyme F420:L-glutamate ligase (EC 6.3.2.31) (EC 6.3.2.34)
NCAV_0975,NCAV_0975,A0A2K5AR75,Uncharacterized protein
NCAV_1002,NCAV_1002,A0A2K5ARF2,Putative urea transporter
NCAV_0278,NCAV_0278,A0A2K5APB3,Uncharacterized protein
NCAV_0108,cobI,A0A2K5ANU0,Precorrin-2 C20-methyltransferase (EC 2.1.1.130) (EC 2.1.1.151)
NCAV_0620,NCAV_0620,A0A2K5AQ80,Meth_synt_1 domain-containing protein
NCAV_0622,metE,A0A2K5AQ83,Methionine synthase (EC 2.1.1.-)
NCAV_0464,NCAV_0464,A0A2K5APR9,DNA helicase (EC 3.6.4.12)
NCAV_1202,NCAV_1202,A0A2K5ARX7,Uncharacterized protein
NCAV_0484,NCAV_0484,A0A2K5APZ1,"Phosphoesterase DHHA1, RecJ-like"
NCAV_1704,nrgA,A0A2K5ATA7,Ammonium transporter
NCAV_0395,NCAV_0395,A0A2K5APQ2,Uncharacterized protein
NCAV_1010,NCAV_1010,A0A2K5ARD2,Uncharacterized protein
NCAV_0922,NCAV_0922,A0A2K5AR79,Putative DNA-directed RNA polymerase subunit delta
NCAV_1295,mngA,A0A2K5AS45,Mannosyl-3-phosphoglycerate synthase (EC 2.4.1.217)
NCAV_1168,prf,A0A2K5ART3,Peptide chain release factor subunit 1 (Translation termination factor aRF1)
NCAV_0478,NCAV_0478,A0A2K5APU7,MTS domain-containing protein
NCAV_0222,NCAV_0222,A0A2K5AP57,Uroporphyrinogen-III C-methyltransferase
NCAV_0104,NCAV_0104,A0A2K5ANT8,Mut7-C domain-containing protein
NCAV_1195,NCAV_1195,A0A2K5ART6,Uncharacterized protein
NCAV_0887,NCAV_0887,A0A2K5AR34,Putative XPB associated nuclease Bax1
NCAV_0485,rps15p,A0A2K5APT9,30S ribosomal protein S15
NCAV_0233,NCAV_0233,A0A2K5AP64,Putative 3-isopropylmalate dehydratase
NCAV_1268,htpX,A0A2K5AS29,Protease HtpX homolog (EC 3.4.24.-)
NCAV_1676,nep,A0A2K5AT89,Ribosomal RNA small subunit methyltransferase Nep1 (EC 2.1.1.-) (16S rRNA (pseudouridine-N1-)-methyltransferase Nep1)
NCAV_1466,coaD,A0A2K5ASL1,Phosphopantetheine adenylyltransferase (EC 2.7.7.3) (Dephospho-CoA pyrophosphorylase) (Pantetheine-phosphate adenylyltransferase) (PPAT)
NCAV_1333,NCAV_1333,A0A2K5ASA5,Mrr_cat domain-containing protein
NCAV_0420,NCAV_0420,A0A2K5APQ6,Probable membrane transporter protein
NCAV_0986,dnaG,A0A2K5AR87,DNA primase DnaG (EC 2.7.7.101)
NCAV_0700,NCAV_0700,A0A2K5AQF0,Uncharacterized protein
NCAV_1506,NCAV_1506,A0A2K5ASQ2,TRASH domain-containing protein
NCAV_0152,NCAV_0152,A0A2K5ANZ0,PfkB family carbohydrate kinase (EC 2.7.1.-)
NCAV_1401,rpl31e,A0A2K5ASF2,50S ribosomal protein L31e
NCAV_1436,NCAV_1436,A0A2K5ASI3,Uncharacterized protein
NCAV_0111,NCAV_0111,A0A2K5ANT7,Putative Glutamate racemase (EC 5.1.1.3)
NCAV_1751,NCAV_1751,A0A2K5ATI0,Uncharacterized protein
NCAV_0954,NCAV_0954,A0A2K5AR48,Sodium/hydrogen exchanger
NCAV_1178,NCAV_1178,A0A2K5ARU2,2-hydroxyacid dehydrogenase (EC 1.1.1.95)
NCAV_0292,NCAV_0292,A0A2K5APB7,"Peptidase S26B, signal peptidase"
NCAV_1069,NCAV_1069,A0A2K5ARH1,Uncharacterized protein
NCAV_1200,NCAV_1200,A0A2K5ARV6,Uncharacterized protein
NCAV_0275,NCAV_0275,A0A2K5APA8,Uncharacterized protein
NCAV_0341,NCAV_0341,A0A2K5APH5,Uncharacterized protein
NCAV_0243,NCAV_0243,A0A2K5AP76,Putative membrane protein
NCAV_1475,cdvC,A0A2K5ASM3,Cell division protein C
NCAV_0910,NCAV_0910,A0A2K5AR32,Putative integrin-like protein
NCAV_0708,NCAV_0708,A0A2K5AQL0,Uncharacterized protein
NCAV_0952,NCAV_0952,A0A2K5ARA3,Transposase
NCAV_1207,NCAV_1207,A0A2K5ARZ5,"ABC-type nitrate/sulfonate/bicarbonate transport system, periplasmic component"
NCAV_1522,NCAV_1522,A0A2K5ASR8,Putative rieske (2Fe-2S) domain protein
NCAV_1767,NCAV_1767,A0A2K5ATF7,Uncharacterized protein
NCAV_1330,NCAV_1330,A0A2K5AS66,Putative pseudouridylate synthase-like protein
NCAV_1601,NCAV_1601,A0A2K5AT34,"Haloacid dehalogenase superfamily enzyme, subfamily IA"
NCAV_0118,nfo,A0A2K5ANU6,Probable endonuclease 4 (EC 3.1.21.2) (Endodeoxyribonuclease IV) (Endonuclease IV)
NCAV_0694,NCAV_0694,A0A2K5AQH4,Uncharacterized protein
NCAV_0174,NCAV_0174,A0A2K5AP07,4-methyl-5(B-hydroxyethyl)-thiazole monophosphate biosynthesis protein
NCAV_1542,rpl1p,A0A2K5ASV9,50S ribosomal protein L1
NCAV_0530,NCAV_0530,A0A2K5APZ7,Uncharacterized protein
NCAV_1608,accA,A0A2K5AT10,Biotin carboxyl carrier protein of putative acetyl-CoA/ propionyl-CoA carboxylase (EC 6.3.4.14)
NCAV_0936,NCAV_0936,A0A2K5AR38,Putative Fe-S oxidoreductase
NCAV_0508,ubiE2,A0A2K5APX3,Putative ubiquinone/menaquinone biosynthesis methyltransferase UbiE
NCAV_0404,ppa,A0A2K5APL6,Inorganic pyrophosphatase (EC 3.6.1.1) (Pyrophosphate phospho-hydrolase) (PPase)
NCAV_0216,NCAV_0216,A0A2K5AP48,Siroheme decarboxylase (EC 4.1.1.111)
NCAV_1142,NCAV_1142,A0A2K5ARQ8,Uncharacterized protein
NCAV_1044,NCAV_1044,A0A2K5ARE0,Uncharacterized protein
NCAV_0822,rpl14p,A0A2K5AQT0,50S ribosomal protein L14
NCAV_0948,NCAV_0948,A0A2K5AR69,OBG-type G domain-containing protein
NCAV_1611,NCAV_1611,A0A2K5AT43,Uncharacterized protein
NCAV_1472,thiC,A0A2K5ASL7,Phosphomethylpyrimidine synthase (EC 4.1.99.17)
NCAV_1164,NCAV_1164,A0A2K5ARP7,Uncharacterized protein
NCAV_1803,NCAV_1803,A0A2K5ATI7,Uncharacterized protein
NCAV_0096,NCAV_0096,A0A2K5ANS5,Uncharacterized protein
NCAV_1517,NCAV_1517,A0A2K5ASR3,Isopentenyl phosphate kinase (EC 2.7.4.26)
NCAV_1743,amt,A0A2K5ATC9,Ammonium transporter
NCAV_1062,NCAV_1062,A0A2K5ARL1,Uncharacterized protein
NCAV_1130,NCAV_1130,A0A2K5ARN2,Uncharacterized protein
NCAV_0109,cbiF,A0A2K5ANX4,Cobalt-precorrin-4 C(11)-methyltransferase (EC 2.1.1.271)
NCAV_0524,sdhD,A0A2K5AQ29,Putative succinate dehydrogenase/fumarate reductase (EC 1.-.-.-)
NCAV_0598,NCAV_0598,A0A2K5AQ61,Putative Glycerol-1-phosphate dehydrogenase [NAD(P)+] (EC 1.1.1.261)
NCAV_0021,NCAV_0021,A0A2K5ANK1,Pantoate kinase (PoK) (EC 2.7.1.169)
NCAV_0023,panB,A0A2K5ANK7,3-methyl-2-oxobutanoate hydroxymethyltransferase (EC 2.1.2.11) (Ketopantoate hydroxymethyltransferase) (KPHMT)
NCAV_0833,NCAV_0833,A0A2K5AQU3,Copper-bind domain-containing protein
NCAV_1339,NCAV_1339,A0A2K5AS91,Uncharacterized protein
NCAV_0498,NCAV_0498,A0A2K5APW6,Putative Cation:Proton Antiporter-2 (CPA2) Family protein
NCAV_0083,NCAV_0083,A0A2K5ANR9,Putative rieske (2Fe-2S) domain protein
NCAV_1322,NCAV_1322,A0A2K5AS62,Uncharacterized protein
NCAV_0966,NCAV_0966,A0A2K5AR62,Uncharacterized ATP-dependent helicase MTH_1802 (EC 3.6.4.-)
NCAV_0953,NCAV_0953,A0A2K5AR51,MFS transporter
NCAV_0217,NCAV_0217,A0A2K5AP44,Precorrin-2 dehydrogenase (EC 1.3.1.76)
NCAV_0823,rps,A0A2K5AQT2,30S ribosomal protein S17
NCAV_0585,NCAV_0585,A0A2K5AQ41,Uncharacterized protein
NCAV_0076,NCAV_0076,A0A2K5ANQ5,HTH_45 domain-containing protein
NCAV_1399,NCAV_1399,A0A2K5ASF1,Putative metallophosphoesterase
NCAV_1007,NCAV_1007,A0A2K5ARG0,Uncharacterized protein
NCAV_0253,NCAV_0253,A0A2K5AP90,Uncharacterized protein
NCAV_0263,NCAV_0263,A0A2K5APA4,Uncharacterized protein
NCAV_1726,NCAV_1726,A0A2K5ATD7,Uncharacterized protein
NCAV_0048,NCAV_0048,A0A2K5ANM2,Cytosine deaminase-like metal-dependent hydrolase
NCAV_0175,cysO,A0A2K5AP10,Sulfur carrier protein CysO
NCAV_0829,rps19p,A0A2K5AQW3,30S ribosomal protein S19P
NCAV_0447,NCAV_0447,A0A2K5APR4,Uncharacterized protein
NCAV_1048,NCAV_1048,A0A2K5ARH4,Uncharacterized protein
NCAV_0069,NCAV_0069,A0A2K5ANT5,ATPase
NCAV_0455,NCAV_0455,A0A2K5APW3,ParB domain-containing protein
NCAV_1455,NCAV_1455,A0A2K5ASK7,Uncharacterized protein
NCAV_1032,NCAV_1032,A0A2K5ARI1,Uncharacterized protein
NCAV_1732,NCAV_1732,A0A2K5ATD3,Putative RNA methyltransferase
NCAV_0406,NCAV_0406,A0A2K5APN5,Uncharacterized protein
NCAV_1761,NCAV_1761,A0A2K5ATI8,Nicotinamide-nucleotide adenylyltransferase (EC 2.7.7.1) (NAD(+) diphosphorylase) (NAD(+) pyrophosphorylase) (NMN adenylyltransferase)
NCAV_1224,NCAV_1224,A0A2K5ARW8,Uncharacterized protein
NCAV_1592,NCAV_1592,A0A2K5AT04,Putative D-amino acid dehydrogenase
NCAV_0099,NCAV_0099,A0A2K5ANW5,Uncharacterized protein
NCAV_1721,NCAV_1721,A0A2K5ATF0,Uncharacterized protein
NCAV_1779,cas1,A0A2K5ATG7,CRISPR-associated endonuclease Cas1 (EC 3.1.-.-)
NCAV_0699,NCAV_0699,A0A2K5AQG5,Uncharacterized protein
NCAV_0364,rpl18e,A0A2K5APH6,50S ribosomal protein L18e
NCAV_1273,NCAV_1273,A0A2K5AS21,5-formyltetrahydrofolate cyclo-ligase
NCAV_0644,NCAV_0644,A0A2K5AQ92,Rieske domain-containing protein
NCAV_0409,NCAV_0409,A0A2K5APN7,Pribosyltran domain-containing protein
NCAV_1396,NCAV_1396,A0A2K5ASE3,Putative enzyme (EC 3.6.-.-)
NCAV_1176,NCAV_1176,A0A2K5ARR5,Uncharacterized protein
NCAV_1331,srp,A0A2K5AS84,Signal recognition particle 54 kDa protein (SRP54)
NCAV_0819,rpl5p,A0A2K5AQV4,50S ribosomal protein L5
NCAV_0330,rps12p,A0A2K5APF9,30S ribosomal protein S12
NCAV_1373,NCAV_1373,A0A2K5ASF0,Uncharacterized protein
NCAV_1009,NCAV_1009,A0A2K5ARB4,Uncharacterized protein
NCAV_0019,NCAV_0019,A0A2K5ANP0,Putative membrane alanyl aminopeptidase (EC 3.4.11.2)
NCAV_0807,NCAV_0807,A0A2K5AQQ5,Uncharacterized protein
NCAV_1165,cofC,A0A2K5ARQ1,2-phospho-L-lactate guanylyltransferase (LP guanylyltransferase) (EC 2.7.7.68)
NCAV_0978,NCAV_0978,A0A2K5AR99,Uncharacterized protein
NCAV_0475,NCAV_0475,A0A2K5APS8,Uncharacterized protein
NCAV_0347,NCAV_0347,A0A2K5APG3,Glycosyl transferase
NCAV_0219,hemB,A0A2K5AP66,Delta-aminolevulinic acid dehydratase (EC 4.2.1.24)
NCAV_1746,NCAV_1746,A0A2K5ATG3,Uncharacterized protein
NCAV_0943,NCAV_0943,A0A2K5AR43,Uncharacterized protein
NCAV_1123,NCAV_1123,A0A2K5ARL9,Uncharacterized protein
NCAV_1370,NCAV_1370,A0A2K5ASB1,Uncharacterized protein
NCAV_0349,NCAV_0349,A0A2K5APH8,Uncharacterized protein
NCAV_1103,NCAV_1103,A0A2K5ARJ9,Putative NurA nuclease
NCAV_1061,NCAV_1061,A0A2K5ARH2,Uncharacterized protein
NCAV_1572,NCAV_1572,A0A2K5ASY6,Uncharacterized protein
NCAV_0747,NCAV_0747,A0A2K5AQI6,Uncharacterized protein
NCAV_0879,cofG,A0A2K5AQX3,"7,8-didemethyl-8-hydroxy-5-deazariboflavin synthase (EC 4.3.1.32)"
NCAV_0013,NCAV_0013,A0A2K5ANJ6,Uncharacterized protein
NCAV_0493,NCAV_0493,A0A2K5APW7,Uncharacterized protein
NCAV_0976,NCAV_0976,A0A2K5AR74,Uncharacterized protein
NCAV_0846,NCAV_0846,A0A2K5AQZ3,Blue (Type 1) copper domain protein
NCAV_1357,cheY,A0A2K5ASA2,Chemotaxis protein CheY
NCAV_1505,NCAV_1505,A0A2K5ASQ8,Dienelactone hydrolase
NCAV_1047,tfb,A0A2K5ARK2,Transcription initiation factor IIB
NCAV_0125,NCAV_0125,A0A2K5ANW0,Uncharacterized protein
NCAV_1548,NCAV_1548,A0A2K5ASU3,Uncharacterized protein
NCAV_1798,NCAV_1798,A0A2K5ATK5,Uncharacterized protein
NCAV_0517,NCAV_0517,A0A2K5APY9,Alkyl hydroperoxide reductase
NCAV_0042,dnaJ,A0A2K5ANN5,Chaperone protein DnaJ
NCAV_0169,NCAV_0169,A0A2K5AP33,Quinoprotein glucose dehydrogenase (EC 1.1.5.2)
NCAV_1708,NCAV_1708,A0A2K5ATB5,Phosphate transport system permease protein
NCAV_0678,NCAV_0678,A0A2K5AQI3,Putative Hydrogenase assembly chaperone HypC/HupF
NCAV_0030,psmB2,A0A2K5ANL0,Proteasome subunit beta (EC 3.4.25.1) (20S proteasome beta subunit) (Proteasome core protein PsmB)
NCAV_1306,NCAV_1306,A0A2K5AS56,Deoxyhypusine synthase
NCAV_1450,NCAV_1450,A0A2K5ASI8,Uncharacterized protein
NCAV_0593,NCAV_0593,A0A2K5AQ58,Uncharacterized protein
NCAV_1000,ureB,A0A2K5ARC5,Urease subunit beta (EC 3.5.1.5)
NCAV_0237,rps5p,A0A2K5AP69,30S ribosomal protein S5p
NCAV_1041,NCAV_1041,A0A2K5ARF0,Uncharacterized protein
NCAV_1256,NCAV_1256,A0A2K5AS01,TPR_REGION domain-containing protein
NCAV_0100,asnS,A0A2K5ANS9,Asparagine--tRNA ligase (EC 6.1.1.22)
NCAV_1089,NCAV_1089,A0A2K5ARJ2,Uncharacterized protein
NCAV_1071,NCAV_1071,A0A2K5ARI0,Uncharacterized protein
NCAV_1701,NCAV_1701,A0A2K5ATD0,Nitrogen regulatory protein P-II
NCAV_1197,NCAV_1197,A0A2K5ARY5,"Transcriptional regulator, ArsR family"
NCAV_0698,NCAV_0698,A0A2K5AQK3,Uncharacterized protein
NCAV_0765,trpE,A0A2K5AQK7,Anthranilate synthase (EC 4.1.3.27)
NCAV_1602,NCAV_1602,A0A2K5AT03,Uncharacterized protein
NCAV_1527,gabD,A0A2K5ASS5,Succinate-semialdehyde dehydrogenase (EC 1.2.1.16)
NCAV_0382,aspC,A0A2K5APL2,Aminotransferase (EC 2.6.1.-)
NCAV_0582,NCAV_0582,A0A2K5AQ74,Uncharacterized protein
NCAV_1659,NCAV_1659,A0A2K5AT51,"Putative cation transporter, DASS family"
NCAV_0662,acdA,A0A2K5AQE5,Short-chain specific acyl-CoA dehydrogenase (EC 1.3.8.-)
NCAV_0059,NCAV_0059,A0A2K5ANT2,Uncharacterized protein
NCAV_0790,NCAV_0790,A0A2K5AQP5,"ABC uptake transporter, periplasmic binding"
NCAV_0795,rps10p,A0A2K5AQP7,30S ribosomal protein S10
NCAV_1110,lsrF,A0A2K5ARM5,Uncharacterized aldolase LsrF (EC 4.1.2.-)
NCAV_1409,lysX,A0A2K5ASG1,Alpha-aminoadipate lysW ligase LysX (EC 6.3.2.-)
NCAV_1774,NCAV_1774,A0A2K5ATH3,Uncharacterized protein
NCAV_1320,NCAV_1320,A0A2K5AS57,Small-conductance mechanosensitive ion channel MscS
NCAV_0992,NCAV_0992,A0A2K5ARE4,Uncharacterized protein
NCAV_1695,NCAV_1695,A0A2K5AT83,Uncharacterized protein
NCAV_0849,hppA,A0A2K5AQX4,K(+)-insensitive pyrophosphate-energized proton pump (EC 7.1.3.1) (Membrane-bound proton-translocating pyrophosphatase) (Pyrophosphate-energized inorganic pyrophosphatase) (H(+)-PPase)
NCAV_1274,NCAV_1274,A0A2K5AS15,TFIIE_alpha domain-containing protein
NCAV_0738,NCAV_0738,A0A2K5AQP3,Uncharacterized protein
NCAV_1791,NCAV_1791,A0A2K5ATL3,"Putative DNA replication initiation complex subunit, GINS15 family protein"
NCAV_0838,NCAV_0838,A0A2K5AQT6,Uncharacterized protein
NCAV_1219,rps27ae,A0A2K5ARW0,30S ribosomal protein S27ae
NCAV_0261,NCAV_0261,A0A2K5AP79,Uncharacterized protein
NCAV_0728,NCAV_0728,A0A2K5AQN4,Dihydroorotate dehydrogenase electron transfer subunit
NCAV_0610,NCAV_0610,A0A2K5AQ73,Uncharacterized protein
NCAV_0238,rpl30p,A0A2K5AP72,50S ribosomal protein L30p
NCAV_0660,NCAV_0660,A0A2K5AQB8,"Putative Indolepyruvate ferredoxin oxidoreductase,gamma subunit (EC 1.2.7.8)"
NCAV_1525,NCAV_1525,A0A2K5ASR7,DUF5679 domain-containing protein
NCAV_1589,fno,A0A2K5AT23,F420-dependent NADP reductase (EC 1.5.1.40)
NCAV_0060,NCAV_0060,A0A2K5ANP4,Uncharacterized protein
NCAV_1698,NCAV_1698,A0A2K5ATA5,Uncharacterized protein
NCAV_0675,NCAV_0675,A0A2K5AQC7,Uncharacterized protein
NCAV_1510,NCAV_1510,A0A2K5ASQ1,"Putative 1H-3-hydroxy-4-oxoquinaldine 2,4-dioxygenase"
NCAV_1091,NCAV_1091,A0A2K5ARJ6,Uncharacterized protein
NCAV_0355,NCAV_0355,A0A2K5APL3,DHH domain-containing protein
NCAV_1082,NCAV_1082,A0A2K5ARM8,Putative glycosyltransferase family 2
NCAV_0866,ilvE,A0A2K5AQW5,Branched-chain-amino-acid aminotransferase (BCAT) (EC 2.6.1.42)
NCAV_0366,rps9p,A0A2K5APJ9,30S ribosomal protein S9
NCAV_0731,flpA,A0A2K5AQI0,Fibrillarin-like rRNA/tRNA 2'-O-methyltransferase (EC 2.1.1.-)
NCAV_0061,NCAV_0061,A0A2K5ANP2,Uncharacterized protein
NCAV_0303,NCAV_0303,A0A2K5APF1,DUF4332 domain-containing protein
NCAV_0072,NCAV_0072,A0A2K5ANQ9,Uncharacterized protein
NCAV_1764,NCAV_1764,A0A2K5ATF5,Uncharacterized protein
NCAV_0280,NCAV_0280,A0A2K5APD0,Uncharacterized protein
NCAV_1790,NCAV_1790,A0A2K5ATJ7,Uncharacterized protein
NCAV_1718,NCAV_1718,A0A2K5ATC2,Uncharacterized protein
NCAV_0656,NCAV_0656,A0A2K5AQG4,DUF35_N domain-containing protein
NCAV_1132,NCAV_1132,A0A2K5ARP9,Acylphosphatase (EC 3.6.1.7)
NCAV_1186,NCAV_1186,A0A2K5ARS7,Uncharacterized protein
NCAV_1384,NCAV_1384,A0A2K5ASD0,Uncharacterized protein
NCAV_1093,mqnE,A0A2K5ARI8,Aminodeoxyfutalosine synthase (EC 2.5.1.120)
NCAV_1381,NCAV_1381,A0A2K5ASD2,Uncharacterized protein
NCAV_0232,NCAV_0232,A0A2K5AP68,AsnC_trans_reg domain-containing protein
NCAV_0165,NCAV_0165,A0A2K5AP01,Uncharacterized protein
NCAV_1705,NCAV_1705,A0A2K5AT91,Phosphate-specific transport system accessory protein PhoU
NCAV_1537,radA,A0A2K5AST5,DNA repair and recombination protein RadA
NCAV_0074,pyrI,A0A2K5ANQ8,Aspartate carbamoyltransferase regulatory chain
NCAV_1045,NCAV_1045,A0A2K5ARD8,Uncharacterized protein
NCAV_0338,NCAV_0338,A0A2K5APF8,Putative ferredoxin
NCAV_0637,NCAV_0637,A0A2K5AQA1,Uncharacterized protein
NCAV_0949,thiL,A0A2K5AR46,Thiamine-monophosphate kinase (TMP kinase) (Thiamine-phosphate kinase) (EC 2.7.4.16)
NCAV_1441,lysS,A0A2K5ASJ8,Lysine--tRNA ligase (EC 6.1.1.6) (Lysyl-tRNA synthetase) (LysRS)
NCAV_0229,pgk,A0A2K5AP82,Phosphoglycerate kinase (EC 2.7.2.3)
NCAV_1620,NCAV_1620,A0A2K5AT09,DUF59 domain-containing protein
NCAV_1628,NCAV_1628,A0A2K5AT33,Putative Transcriptional regulator
NCAV_1212,NCAV_1212,A0A2K5ARY6,Uncharacterized protein
NCAV_0328,rps3ae,A0A2K5APE8,30S ribosomal protein S3Ae (Ribosomal protein S1e)
NCAV_0082,trxB,A0A2K5ANS2,Thioredoxin-disulfide reductase (TrxB) (EC 1.8.1.9)
NCAV_0001,cdc,A0A2K5ANI4,ORC1-type DNA replication protein
NCAV_1420,bioD,A0A2K5ASF7,ATP-dependent dethiobiotin synthetase BioD (EC 6.3.3.3) (DTB synthetase) (DTBS) (Dethiobiotin synthase)
NCAV_1666,NCAV_1666,A0A2K5AT77,Transposase
NCAV_0772,NCAV_0772,A0A2K5AQM9,Uncharacterized protein
NCAV_1539,rpl12p,A0A2K5ASW9,50S ribosomal protein L12
NCAV_0757,pyrG,A0A2K5AQJ9,CTP synthase (EC 6.3.4.2) (Cytidine 5'-triphosphate synthase) (Cytidine triphosphate synthetase) (CTP synthetase) (CTPS) (UTP--ammonia ligase)
NCAV_1369,flaG,A0A2K5ASB9,Putative Archaeal flagellar protein FlaG
NCAV_0334,NCAV_0334,A0A2K5APE7,Uncharacterized protein
NCAV_0487,NCAV_0487,A0A2K5APV9,Uncharacterized protein
NCAV_0185,NCAV_0185,A0A2K5AP15,ATP phosphoribosyltransferase (EC 2.4.2.17)
NCAV_0313,NCAV_0313,A0A2K5APG2,Putative von Willebrand factor type A
NCAV_0543,NCAV_0543,A0A2K5AQ10,Putative Nickel-dependent hydrogenase alpha subunit
NCAV_1120,top6B,A0A2K5ARN6,Type 2 DNA topoisomerase 6 subunit B (EC 5.6.2.2) (Type II DNA topoisomerase VI subunit B) (TopoVI-B)
NCAV_1122,NCAV_1122,A0A2K5ARS2,Uncharacterized protein
NCAV_0550,rpl38e,A0A2K5AQ16,50S ribosomal protein L38E
NCAV_1660,NCAV_1660,A0A2K5AT47,Radical_SAM domain-containing protein
NCAV_0870,mcm,A0A2K5AQZ5,DNA helicase (EC 3.6.4.12)
NCAV_0176,thrC,A0A2K5AP08,Threonine synthase (EC 4.2.3.1)
NCAV_0928,NCAV_0928,A0A2K5AR37,Nudix hydrolase domain-containing protein
NCAV_0469,NCAV_0469,A0A2K5APU4,Putative thioesterase superfamily protein
NCAV_0720,NCAV_0720,A0A2K5AQH0,Vacuolar iron transporter family protein
NCAV_1494,rpoA,A0A2K5ASN3,DNA-directed RNA polymerase subunit A'' (EC 2.7.7.6)
NCAV_1697,NCAV_1697,A0A2K5AT87,CBS and Zinc Finger C2H2 domain-containing membrane protein
NCAV_1077,NCAV_1077,A0A2K5ARM9,"Putative Glycerol-3-phosphate dehydrogenase, anaerobic, C subunit"
NCAV_1358,NCAV_1358,A0A2K5ASE7,Chemotaxis protein CheW (Modular protein)
NCAV_0576,NCAV_0576,A0A2K5AQ91,Glycosyl transferase family 2 (Modular protein)
